አይሻልሽምን ; [7, 7, 7, 7, 1, 1]
ቢላዋ ; [4, 1]
የሰጣት ; [570, 1]
ጠፋ ; [351, 351, 1, 1]
በሽታ ; [93, 2]
እንዳለብኝ ; [10430, 10430, 1849, 1849]
አበራው ; [9, 9]
የሚመጣ ; [1280, 1280]
ጠባብ ; [42]
ለገራቸው ; [7, 6]
ተጋደሉ ; [145, 145]
ብንሸራሸርስ ; [10, 10, 1]
ተማሪውን ; [549]
እራሱን ; [497, 35, 19]
በጊዜ ; [5001, 51]
ካልተጠነቀቁ ; [41, 41]
ሳይሠራ ; [899, 899]
ልሸነፍ ; [1, 1]
ስል ; [10430, 1]
እናት ; [653, 653]
ነች ; [1, 1]
በተናዘዘ ; [1, 1]
አዘነች ; [113, 113]
ለሰለሰ ; [7, 1]
እስካላባረረው ; [28, 28]
ድረስ ; [1724, 1047, 1047]
ብርጭቆ ; [36]
የሰበረው ; [53, 53]
እንዲኖረው ; [380, 380]
እመጣለሁ ; [1280, 1280, 3]
በሞትኩ ; [226, 226]
ቢያዳምጣት ; [2]
ፈላ ; [17, 17]
ቃሉን ; [1155, 1]
ጊዜም ; [5001]
ፋታ ; [27]
አትምጣ ; [1280, 1280, 1]
ካልጻፍክልኝ ; [1, 1]
ማክሰኞ ; [57]
ብዙም ; [779, 779, 228]
አያነብም ; [1, 1]
አልወደውም ; [541, 541]
አልተሻለውም ; [1, 1]
ልንጠይቅ ; [1145, 1145]
ሄደን ; [1644, 1644, 1644]
እንግዶች ; [846, 138]
ስለማይመጡ ; [1280, 1280, 3]
ጠላውን ; [16, 2]
ለንጉሱ ; [40, 1]
ከያለበት ; [10430, 1849]
ውሻ ; [93, 5]
ተናካሽ ; [2]
ይሞቃል ; [20, 20]
አለመያዙ ; [374]
አሉት ; [10430, 10430, 10430, 1849, 1849, 1849]
ስለበዛ ; [228, 1]
ብትሰጠኝ ; [570, 570]
ላኩ ; [343, 343, 343, 50, 1]
እንዴት ; [1162, 69]
ቆየህ ; [1, 1]
ካልቆመ ; [313, 313]
ነን ; [1, 1]
አለው ; [10430, 10430, 10430, 1849, 1849, 1849]
በመለማመድ ; [12]
ዓለሙ ; [1035, 52, 21, 21, 1]
ይረሳል ; [51, 51]
ተስፋዬም ; [570, 570, 1]
በለጠ ; [568, 1]
ወዳለችው ; [10430, 10430, 1849, 1849]
በተሰቀለበት ; [26, 26]
ጨልማ ; [21, 21, 21]
እርሱንማ ; [1169, 140, 51]
አውቀው ; [1643, 1643]
በእውነት ; [96]
ብርም ; [1320]
ወርቅ ; [364]
ሊገዛው ; [79, 79]
አይችልም ; [5530, 5530]
ሰብሮ ; [53, 1]
በረኛው ; [68, 1]
አላስገባም ; [959, 959, 959, 959]
ታች ; [43, 43, 2]
ለግጦሽ ; [26, 1]
ማዶ ; [37, 37]
ካለው ; [10430, 10430, 10430, 1849, 1849, 1849]
